fov,n_cells,avg_transcripts,median_transcripts
001,1147,166.88491717523976,136.0
002,844,58.45497630331754,42.0
004,3392,304.859375,267.0
005,2783,231.55803090190443,184.0
006,2022,197.34174085064294,159.0
007,2712,201.86356932153393,170.0
008,1147,134.78291194420225,103.0
009,2273,232.63220413550374,191.0
010,1643,135.44674376141205,99.0
011,1147,131.28857890148214,101.0
012,1170,96.52222222222223,72.0
013,1299,128.13086989992303,102.0
014,1658,111.18455971049457,87.0
015,2026,174.2147087857848,139.0
016,2543,172.8651199370822,132.0
017,2907,256.5328517371861,210.0
018,837,106.22341696535246,69.0
019,1817,199.86186020913593,166.0
021,3031,241.93797426591883,200.0
022,3541,264.7238068342276,228.0
